,,AMESBURY BALLROOM (850),AMESBURY BALLROOM ABC (400),AMESBURY BALLROOM D (360),INMAN SQUARE (100),CENTRAL SQUARE (100),KENDALL SQUARE (100),PORTER SQUARE A (60),PORTER SQUARE B (60),HARVARD SQUARE A (60),HARVARD SQUARE B (60),,,
Date,Time,,,,,,,,,,,,,
,4:45 PM,Brain Networks,,,Social Networks 4,Higher-order & Multilayer Networks 3,"Algorithms, Inference & Reconstruction 3",,,Dynamics & Control 3,Network Theory 3,,,
,5:00 PM,Brain Networks,,,Social Networks 4,Higher-order & Multilayer Networks 3,"Algorithms, Inference & Reconstruction 3",,,Dynamics & Control 3,Network Theory 3,,,
,5:15 PM,Brain Networks,,,Social Networks 4,Higher-order & Multilayer Networks 3,"Algorithms, Inference & Reconstruction 3",,,Dynamics & Control 3,Network Theory 3,,,
,,Brain Networks,,,,Chair: Iacopo Iacopini,Chair: Erik Weis,,,,Chair: Maximilian Jerdee,,,
,,Chair: Jesseba Fernando,,,,,,,,,,,,
,5:30 PM,Closing,,,,,,,,,,,,
,5:45 PM,Closing,,,,,,,,,,,38,sessions
,6:00 PM,,,,,,,,,,,,220,talks
,6:15 PM,,,,,,,,,,,,,
,5:30 PM,,,,,,,,,,,,,
,5:45 PM,,,,,,,,,,,,,
,6:00 PM,,,,,,,,,,,,,
,6:15 PM,,,,,,,,,,,,,
